Time (day),IL-2,,,,,,,,H9,,,,,,,,H9T,,,,,,,
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2.57,8.36,7.28,7.62,3.78,3.86,3.72,3.48,2.78,7.98,6.9,8.24,3.81,4,3.6,3.98,2.01,10.74,6.02,6.48,3.8,3.98,3.82,4.33
4,6.682,34.9448,23.0776,27.2796,12.3228,13.0082,13.1316,10.9968,7.5894,29.3664,23.736,29.252,13.2207,13.92,13.104,14.0096,6.1305,41.349,21.4312,21.708,15.846,15.9996,15.853,19.7448
6,16.43772,75.13132,32.53942,58.10555,33.641244,37.203452,37.687692,30.2412,20.415486,71.06669,42.48744,61.4292,41.116377,42.456,37.21536,36.42496,19.311075,84.76545,31.71818,42.54768,55.61946,52.478688,51.20519,57.457368
8,25.6428432,218.6321,78.74539,165.6008,76.36562388,66.59417908,66.70721484,60.179988,32.4606227,179.0881,107.0683,132.0728,74.0094786,75.14712,62.1496512,65.9291776,40.167036,247.5151,59.63017,101.689,109.5703362,97.0855728,99.8501205,111.4672939
